"group","n","Meand15N","Meand13C","SDd15N","SDd13C"
"Biofilm",4,-3.42333333333333,-22.365,0.991429943734469,2.43297485943991
"CPOM/Plant",12,-4.19083333333333,-27.7125,1.30320903460603,0.945536163435136
"Hydrurus",5,-5.716,-21.986,0.206106768447812,0.432816358286053
