"","source","taxa","site","n","per_assim","sd"
"1","Hydrurus","Allomyia","AK Basin",3,0,NA
"2","Hydrurus","Allomyia","Wind Cave",2,1.34761225895559,NA
"3","Hydrurus","Ameletidae","AK Basin",3,0,NA
"4","Hydrurus","Ameletidae","Delta",4,0,NA
"5","Hydrurus","Ameletidae","SFTC",1,0,NA
"6","Hydrurus","Baetis","Delta",2,0,NA
"7","Hydrurus","Cynigmula","AK Basin",1,0,NA
"8","Hydrurus","Cynigmula","SFTC",7,0,NA
"9","Hydrurus","Drunella","NFTC",1,0,NA
"10","Hydrurus","Epeorus","SFTC",5,0,NA
"11","Hydrurus","Heldon","Wind Cave",3,0,NA
"12","Hydrurus","Homophylax","AK Basin",1,0,NA
"13","Hydrurus","Homophylax","Delta",1,0,NA
"14","Hydrurus","Homophylax","Grizzly",7,0,NA
"15","Hydrurus","Homophylax","NFTC",6,0,NA
"16","Hydrurus","Homophylax","Paintbrush",2,0,NA
"17","Hydrurus","Homophylax","Skillet",2,0,NA
"18","Hydrurus","Lednia","Delta",4,0,NA
"19","Hydrurus","Lednia","Wind Cave",4,0,NA
"20","Hydrurus","Megarcys","AK Basin",5,0.733653610382104,NA
"21","Hydrurus","Megarcys","Delta",3,0,NA
"22","Hydrurus","Megarcys","NFTC",3,0,NA
"23","Hydrurus","Megarcys","SFTC",2,0,NA
"24","Hydrurus","Megarcys","Wind Cave",7,4.28040732224819,NA
"25","Hydrurus","Midges","Delta",4,0,NA
"26","Hydrurus","Midges","Grizzly",4,0,NA
"27","Hydrurus","Midges","Paintbrush",3,0,NA
"28","Hydrurus","Midges","Skillet",1,0,NA
"29","Hydrurus","Midges","Wind Cave",2,12.7278776865427,NA
"30","Hydrurus","Prosimulium","Grizzly",7,0,NA
"31","Hydrurus","Prosimulium","NFTC",4,0,NA
"32","Hydrurus","Prosimulium","Paintbrush",5,0,NA
"33","Hydrurus","Prosimulium","SFTC",4,0,NA
"34","Hydrurus","Prosimulium","Skillet",4,0,NA
"35","Hydrurus","Rhyacophila","Delta",5,0,NA
"36","Hydrurus","Rhyacophila","Grizzly",2,0,NA
"37","Hydrurus","Rhyacophila","NFTC",4,0,NA
"38","Hydrurus","Rhyacophila","SFTC",5,0,NA
"39","Hydrurus","Rhyacophila","Skillet",1,0,NA
"40","Hydrurus","Rhyacophila","Wind Cave",5,0,NA
"41","Hydrurus","Rithrogena","AK Basin",3,0,NA
"42","Hydrurus","Rithrogena","SFTC",2,0,NA
"43","Hydrurus","Sweltsa","AK Basin",4,0,NA
"44","Hydrurus","Sweltsa","SFTC",3,0,NA
"45","Hydrurus","Tipula","AK Basin",4,0,NA
"46","Hydrurus","Tipula","Delta",1,0,NA
"47","Hydrurus","Tipula","SFTC",6,0,NA
"48","Hydrurus","Zapada","AK Basin",3,0,NA
"49","Hydrurus","Zapada","Delta",2,0,NA
"50","Hydrurus","Zapada","Gusher",1,0,NA
"51","Hydrurus","Zapada","Wind Cave",6,0,NA
"52","Other","Cynigmula","SFTC",1,NA,NA
"53","Other","Tipula","AK Basin",1,NA,NA
"54","animal","Allomyia","AK Basin",3,0,NA
"55","animal","Allomyia","Wind Cave",2,0,NA
"56","animal","Ameletidae","AK Basin",3,0,NA
"57","animal","Ameletidae","Delta",4,3.03276193204966,NA
"58","animal","Ameletidae","SFTC",1,100,NA
"59","animal","Baetis","Delta",2,0,NA
"60","animal","Cynigmula","AK Basin",1,0,NA
"61","animal","Cynigmula","SFTC",7,16.5163146030522,NA
"62","animal","Drunella","NFTC",1,90.9275185367386,NA
"63","animal","Epeorus","SFTC",5,20,NA
"64","animal","Heldon","Wind Cave",3,0,NA
"65","animal","Homophylax","AK Basin",1,0,NA
"66","animal","Homophylax","Delta",1,0,NA
"67","animal","Homophylax","Grizzly",7,8.56959598701216,NA
"68","animal","Homophylax","NFTC",6,0,NA
"69","animal","Homophylax","Paintbrush",2,12.1971628083217,NA
"70","animal","Homophylax","Skillet",2,0,NA
"71","animal","Lednia","Delta",4,0,NA
"72","animal","Lednia","Wind Cave",4,0,NA
"73","animal","Megarcys","AK Basin",5,6.1144307268927,NA
"74","animal","Megarcys","Delta",3,59.7244501201767,NA
"75","animal","Megarcys","NFTC",3,87.8494336140238,NA
"76","animal","Megarcys","SFTC",2,0,NA
"77","animal","Megarcys","Wind Cave",7,22.271290405205,NA
"78","animal","Midges","Delta",4,0,NA
"79","animal","Midges","Grizzly",4,0,NA
"80","animal","Midges","Paintbrush",3,0,NA
"81","animal","Midges","Skillet",1,0,NA
"82","animal","Midges","Wind Cave",2,0,NA
"83","animal","Prosimulium","Grizzly",7,15.4423219510721,NA
"84","animal","Prosimulium","NFTC",4,3.78918923919051,NA
"85","animal","Prosimulium","Paintbrush",5,0,NA
"86","animal","Prosimulium","SFTC",4,0,NA
"87","animal","Prosimulium","Skillet",4,0,NA
"88","animal","Rhyacophila","Delta",5,80,NA
"89","animal","Rhyacophila","Grizzly",2,50,NA
"90","animal","Rhyacophila","NFTC",4,98.7472336841298,NA
"91","animal","Rhyacophila","SFTC",5,68.2903067628395,NA
"92","animal","Rhyacophila","Skillet",1,100,NA
"93","animal","Rhyacophila","Wind Cave",5,88.3142817013799,NA
"94","animal","Rithrogena","AK Basin",3,0,NA
"95","animal","Rithrogena","SFTC",2,0,NA
"96","animal","Sweltsa","AK Basin",4,33.9646208986205,NA
"97","animal","Sweltsa","SFTC",3,44.1646867455622,NA
"98","animal","Tipula","AK Basin",4,0,NA
"99","animal","Tipula","Delta",1,0,NA
"100","animal","Tipula","SFTC",6,0,NA
"101","animal","Zapada","AK Basin",3,0,NA
"102","animal","Zapada","Delta",2,0,NA
"103","animal","Zapada","Gusher",1,0,NA
"104","animal","Zapada","Wind Cave",6,0,NA
"105","diatoms","Allomyia","AK Basin",3,100,NA
"106","diatoms","Allomyia","Wind Cave",2,98.4668581310856,NA
"107","diatoms","Ameletidae","AK Basin",3,99.9510146433083,NA
"108","diatoms","Ameletidae","Delta",4,96.9672380679503,NA
"109","diatoms","Ameletidae","SFTC",1,0,NA
"110","diatoms","Baetis","Delta",2,100,NA
"111","diatoms","Cynigmula","AK Basin",1,100,NA
"112","diatoms","Cynigmula","SFTC",7,82.4168996769548,NA
"113","diatoms","Drunella","NFTC",1,9.0724814632614,NA
"114","diatoms","Epeorus","SFTC",5,79.8304055474176,NA
"115","diatoms","Heldon","Wind Cave",3,98.9980351665891,NA
"116","diatoms","Homophylax","AK Basin",1,100,NA
"117","diatoms","Homophylax","Delta",1,91.0647450586959,NA
"118","diatoms","Homophylax","Grizzly",7,8.91606995495915,NA
"119","diatoms","Homophylax","NFTC",6,70.3870799892927,NA
"120","diatoms","Homophylax","Paintbrush",2,70.6086460636345,NA
"121","diatoms","Homophylax","Skillet",2,0,NA
"122","diatoms","Lednia","Delta",4,59.2773175999903,NA
"123","diatoms","Lednia","Wind Cave",4,87.7227265956038,NA
"124","diatoms","Megarcys","AK Basin",5,92.8133919747338,NA
"125","diatoms","Megarcys","Delta",3,40.2755498798233,NA
"126","diatoms","Megarcys","NFTC",3,12.1505663859762,NA
"127","diatoms","Megarcys","SFTC",2,100,NA
"128","diatoms","Megarcys","Wind Cave",7,73.3875074578402,NA
"129","diatoms","Midges","Delta",4,93.5901079519298,NA
"130","diatoms","Midges","Grizzly",4,43.1876189059478,NA
"131","diatoms","Midges","Paintbrush",3,100,NA
"132","diatoms","Midges","Skillet",1,0,NA
"133","diatoms","Midges","Wind Cave",2,86.7233544526166,NA
"134","diatoms","Prosimulium","Grizzly",7,78.6713778391472,NA
"135","diatoms","Prosimulium","NFTC",4,96.2108107608095,NA
"136","diatoms","Prosimulium","Paintbrush",5,99.2566976663936,NA
"137","diatoms","Prosimulium","SFTC",4,99.6524847911416,NA
"138","diatoms","Prosimulium","Skillet",4,88.4606375428251,NA
"139","diatoms","Rhyacophila","Delta",5,0,NA
"140","diatoms","Rhyacophila","Grizzly",2,39.47520621325,NA
"141","diatoms","Rhyacophila","NFTC",4,1.14148190150121,NA
"142","diatoms","Rhyacophila","SFTC",5,31.7096932371605,NA
"143","diatoms","Rhyacophila","Skillet",1,0,NA
"144","diatoms","Rhyacophila","Wind Cave",5,11.176411278684,NA
"145","diatoms","Rithrogena","AK Basin",3,100,NA
"146","diatoms","Rithrogena","SFTC",2,100,NA
"147","diatoms","Sweltsa","AK Basin",4,66.0353791013795,NA
"148","diatoms","Sweltsa","SFTC",3,55.8353132544378,NA
"149","diatoms","Tipula","AK Basin",4,90.1692010978105,NA
"150","diatoms","Tipula","Delta",1,13.4952193503911,NA
"151","diatoms","Tipula","SFTC",6,36.3447703864763,NA
"152","diatoms","Zapada","AK Basin",3,95.115230597895,NA
"153","diatoms","Zapada","Delta",2,84.2283466108794,NA
"154","diatoms","Zapada","Gusher",1,64.1130169321973,NA
"155","diatoms","Zapada","Wind Cave",6,92.3501788045343,NA
"156","fil. algae","Cynigmula","SFTC",7,0,NA
"157","fil. algae","Epeorus","SFTC",5,0,NA
"158","fil. algae","Megarcys","SFTC",2,0,NA
"159","fil. algae","Prosimulium","SFTC",4,0.0166528565704603,NA
"160","fil. algae","Rithrogena","SFTC",2,0,NA
"161","fil. algae","Tipula","SFTC",6,0.268348565499771,NA
"162","plant","Allomyia","AK Basin",3,0,NA
"163","plant","Allomyia","Wind Cave",2,0.18552960995879,NA
"164","plant","Ameletidae","AK Basin",3,0.0489853566916824,NA
"165","plant","Ameletidae","Delta",4,0,NA
"166","plant","Ameletidae","SFTC",1,0,NA
"167","plant","Baetis","Delta",2,0,NA
"168","plant","Cynigmula","AK Basin",1,0,NA
"169","plant","Cynigmula","SFTC",7,1.06678571999297,NA
"170","plant","Drunella","NFTC",1,0,NA
"171","plant","Epeorus","SFTC",5,0.169594452582383,NA
"172","plant","Heldon","Wind Cave",3,1.0019648334109,NA
"173","plant","Homophylax","AK Basin",1,0,NA
"174","plant","Homophylax","Delta",1,8.93525494130408,NA
"175","plant","Homophylax","Grizzly",7,82.5143340580287,NA
"176","plant","Homophylax","NFTC",6,29.6129200107073,NA
"177","plant","Homophylax","Paintbrush",2,17.1941911280438,NA
"178","plant","Homophylax","Skillet",2,100,NA
"179","plant","Lednia","Delta",4,40.7226824000097,NA
"180","plant","Lednia","Wind Cave",4,12.2772734043962,NA
"181","plant","Megarcys","AK Basin",5,0.338523687991353,NA
"182","plant","Megarcys","Delta",3,0,NA
"183","plant","Megarcys","NFTC",3,0,NA
"184","plant","Megarcys","SFTC",2,0,NA
"185","plant","Megarcys","Wind Cave",7,0.0607948147066097,NA
"186","plant","Midges","Delta",4,6.40989204807019,NA
"187","plant","Midges","Grizzly",4,56.8123810940522,NA
"188","plant","Midges","Paintbrush",3,0,NA
"189","plant","Midges","Skillet",1,100,NA
"190","plant","Midges","Wind Cave",2,0.548767860840754,NA
"191","plant","Prosimulium","Grizzly",7,5.88630020978067,NA
"192","plant","Prosimulium","NFTC",4,0,NA
"193","plant","Prosimulium","Paintbrush",5,0.743302333606351,NA
"194","plant","Prosimulium","SFTC",4,0.330862352287959,NA
"195","plant","Prosimulium","Skillet",4,11.5393624571749,NA
"196","plant","Rhyacophila","Delta",5,20,NA
"197","plant","Rhyacophila","Grizzly",2,10.52479378675,NA
"198","plant","Rhyacophila","NFTC",4,0.111284414368948,NA
"199","plant","Rhyacophila","SFTC",5,0,NA
"200","plant","Rhyacophila","Skillet",1,0,NA
"201","plant","Rhyacophila","Wind Cave",3,0.848845033226861,NA
"202","plant","Rithrogena","AK Basin",3,0,NA
"203","plant","Rithrogena","SFTC",2,0,NA
"204","plant","Sweltsa","AK Basin",4,0,NA
"205","plant","Sweltsa","SFTC",3,0,NA
"206","plant","Tipula","AK Basin",4,9.83079890218944,NA
"207","plant","Tipula","Delta",1,86.5047806496089,NA
"208","plant","Tipula","SFTC",6,63.3868810480239,NA
"209","plant","Zapada","AK Basin",3,4.88476940210497,NA
"210","plant","Zapada","Delta",2,15.7716533891206,NA
"211","plant","Zapada","Gusher",1,35.8869830678027,NA
"212","plant","Zapada","Wind Cave",6,7.64982119546572,NA
