"Dim.1" "Dim.2" "Dim.3"
"AK Basin" -2.00710325822908 0.176168726122664 3.16289990097696e-05
"Cloudveil" 1.48623498068217 0.91472905084536 6.03770800766679e-05
"Delta" 0.688425903119178 0.651541492008405 -0.000241847315955085
"Grizzly" -0.0842839076555028 -2.60812075517067 -1.69630352312433e-05
"NFTC" 0.274636783957261 0.0919199072497048 0.00051150406570992
"Paintbrush" 1.41458730946194 0.117649712816336 2.35042119768325e-05
"SFTC" 1.02034145487897 -0.598924235934838 -0.00021573098034422
"Skillet" -0.92306934393775 1.15325953091483 -0.0001055079330603
"Wind Cave" -1.86976992227718 0.101776571148202 -4.69650921832709e-05
