"","site","Primary_water_source","Riparian_habitat","Elevation","Tmean","Tmax","DO_mg_L","SPC","TSS_g_L","Chla_mg_m2","pH","slope","aspect","aspect_beers","fluoride","chloride","nitrate","sulfate","Notes","PCA1","PCA2","PCA3","PCA4","H","D"
"1","AK Basin","Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978
"2","Cloudveil","Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703
"3","Delta","Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964
"4","Grizzly","Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596
"5","NFTC","Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878
"6","Paintbrush","Snowmelt","Boulder field",2796,5.4,9.8,9.46,32.3,0.023910621,2.79728399,8.46,9,41,0.346356379,409.9,770.8,659.9,8800.7,"",-0.339890220237158,-0.159111704717924,0.410561371811591,0.62206188195333,0.187334362477396,0.067886276917679
"7","SFTC","Snowmelt","Alpine tundra",2995,7.9,16.8,7.6,59,0.20999474,1.446630561,7.8,3,90,1.525321989,402.9,745.8,12.268065,5241,"NO3 below DL",-3.83219686437435,-0.688377280652843,-1.09330815168401,-1.16440584711724,1.37756104786239,0.630122138443077
"8","Skillet","Glacier","Boulder field",2733,4.1,7.8,9.67,3.6,0.058521463,6.34023754,8.86,29,60,0.240312087,410.7,748.4,501.8,1518.6,"",-0.433521460728309,0.831373383628077,0.0177910326479237,-0.0401928402095074,0.52770010039643,0.222033277830918
"9","Wind Cave","Subterranean ice","Alpine tundra",2660,2.8,3.2,11.32,153.8,0.032757211,2.443510656,8.53,25,15,1.15425145,492.8,856.5,1099.6,1600.3,"",2.73539666681695,-1.07263192847389,1.59420938200048,-1.02456131079623,0.646722095208538,0.401147959183674
