"","Group","Site","d15N","d13C","FG","base_N","TP_calc"
"313","Homophylax","NFTC",-1.95,-20.81,"Consumer",-2.22857142857143,2.08193277310924
"314","Homophylax","NFTC",-0.94,-17,"Consumer",-2.22857142857143,2.37899159663866
"315","Simuliidae","NFTC",-0.37,-21.85,"Consumer",-2.22857142857143,2.54663865546218
"316","Simuliidae","NFTC",-0.48,-23,"Consumer",-2.22857142857143,2.51428571428571
"317","Simuliidae","NFTC",-0.66,-21.65,"Consumer",-2.22857142857143,2.46134453781513
"318","Simuliidae","NFTC",-0.22,-22.43,"Consumer",-2.22857142857143,2.59075630252101
"319","Simuliidae","NFTC",-0.62,-22.71,"Consumer",-2.22857142857143,2.47310924369748
"320","Midges","NFTC",-2.41,-22.04,"Baseline",-2.22857142857143,1.94663865546218
"321","Midges","NFTC",-2.21,-21.9,"Baseline",-2.22857142857143,2.00546218487395
"322","Midges","NFTC",-2.12,-21.93,"Baseline",-2.22857142857143,2.03193277310924
"323","Midges","NFTC",-2.32,-22.14,"Baseline",-2.22857142857143,1.97310924369748
"324","Midges","NFTC",-2.2,-21.68,"Baseline",-2.22857142857143,2.00840336134454
"325","Midges","NFTC",-2.08,-22.99,"Baseline",-2.22857142857143,2.0436974789916
"326","Midges","NFTC",-2.26,-22.25,"Baseline",-2.22857142857143,1.99075630252101
"327","Megarcys","AKBasin",3.5,-25.17,"Consumer",-0.22,3.09411764705882
"328","Megarcys","AKBasin",2.59,-28.09,"Consumer",-0.22,2.82647058823529
"329","Rithrogena","AKBasin",1.62,-33.48,"Consumer",-0.22,2.54117647058824
"330","Rithrogena","AKBasin",0.77,-33.46,"Consumer",-0.22,2.29117647058824
"331","Allomyia","AKBasin",-0.84,-34.47,"Baseline",-0.22,1.81764705882353
"332","Allomyia","AKBasin",-0.28,-35.85,"Baseline",-0.22,1.98235294117647
"333","Allomyia","AKBasin",0.66,-37.19,"Baseline",-0.22,2.25882352941176
"334","Allomyia","AKBasin",-0.27,-36.9,"Baseline",-0.22,1.98529411764706
"335","Allomyia","AKBasin",-0.07,-35.08,"Baseline",-0.22,2.04411764705882
"336","Ameletidae","AKBasin",0.65,-32.83,"Consumer",-0.22,2.25588235294118
"337","Ameletidae","AKBasin",1.36,-32.14,"Consumer",-0.22,2.46470588235294
"338","Ameletidae","AKBasin",1.61,-29.41,"Consumer",-0.22,2.53823529411765
"339","Zapada","AKBasin",0.1,-30.9,"Consumer",-0.22,2.09411764705882
"340","Zapada","AKBasin",-0.29,-31.23,"Consumer",-0.22,1.97941176470588
"341","Zapada","AKBasin",0.81,-31.08,"Consumer",-0.22,2.30294117647059
"342","Zapada","AKBasin",0.53,-31.59,"Consumer",-0.22,2.22058823529412
"343","Sweltsa","AKBasin",5.72,-24.72,"Consumer",-0.22,3.74705882352941
"344","Heptageniidae","AKBasin",0.99,-31.53,"Consumer",-0.22,2.35588235294118
"345","Drunella","AKBasin",-0.06,-29.43,"Consumer",-0.22,2.04705882352941
"346","Megarcys","AKBasin",3.04,-27.64,"Consumer",-0.22,2.95882352941176
"347","Sweltsa","SFTC",2.9,-24.05,"Consumer",-0.154285714285714,2.89831932773109
"348","Sweltsa","SFTC",3.71,-24.47,"Consumer",-0.154285714285714,3.13655462184874
"349","Sweltsa","SFTC",4.05,-24.11,"Consumer",-0.154285714285714,3.23655462184874
"350","Zapada","SFTC",0.52,-24.15,"Consumer",-0.154285714285714,2.19831932773109
"351","Zapada","SFTC",0.2,-24.32,"Consumer",-0.154285714285714,2.10420168067227
"352","Zapada","SFTC",0.59,-20.8,"Consumer",-0.154285714285714,2.21890756302521
"353","Zapada","SFTC",0.9,-22.92,"Consumer",-0.154285714285714,2.31008403361345
"354","Zapada","SFTC",0.67,-23.79,"Consumer",-0.154285714285714,2.24243697478992
"355","Zapada","SFTC",0,-23.86,"Consumer",-0.154285714285714,2.0453781512605
"356","Zapada","SFTC",0.91,-23.39,"Consumer",-0.154285714285714,2.31302521008403
"357","Zapada","SFTC",0.77,-22.25,"Consumer",-0.154285714285714,2.2718487394958
"358","Zapada","SFTC",0.72,-23.29,"Consumer",-0.154285714285714,2.25714285714286
"359","Zapada","AKBasin",-0.69,-31.74,"",-0.22,1.86176470588235
"360","Lednia","Delta",-4.25,-23.81,"",-2.75375,1.55992647058824
"361","Lednia","Delta",-3.17,-23.56,"",-2.75375,1.87757352941176
"362","Lednia","Delta",-3.35,-24.32,"",-2.75375,1.82463235294118
"363","Zapada","Delta",-4.05,-24.49,"",-2.75375,1.61875
"364","Zapada","Delta",-5.21,-24.58,"",-2.75375,1.27757352941176
"365","Zapada","Delta",-2.25,-23.55,"",-2.75375,2.14816176470588
"366","Lednia","Skillet",-0.87,-21.64,"",0.955,1.46323529411765
"367","Lednia","Skillet",-0.86,-20.85,"",0.955,1.46617647058824
"368","Lednia","Skillet",-1.05,-21.57,"",0.955,1.41029411764706
"369","Lednia","Skillet",-0.79,-22.11,"",0.955,1.48676470588235
"370","Lednia","Skillet",-1.86,-21.78,"",0.955,1.17205882352941
"371","Zapada","WindCave",-0.98,-31.92,"",-1.09285714285714,2.03319327731092
"372","Zapada","WindCave",-1.13,-30.5,"",-1.09285714285714,1.9890756302521
"373","Lednia","Skillet",-1.04,-21.22,"",0.955,1.41323529411765
"374","Lednia","Skillet",-0.77,-21.7,"",0.955,1.49264705882353
"375","Lednia","Skillet",-0.93,-23.13,"",0.955,1.44558823529412
"376","Lednia","Skillet",-1.31,-22.26,"",0.955,1.33382352941176
"377","Zapada","AKBasin",0.11,-25.98,"",-0.22,2.09705882352941
"378","Zapada","AKBasin",-0.26,-32.51,"",-0.22,1.98823529411765
"379","Zapada","WindCave",-1.32,-29.92,"",-1.09285714285714,1.93319327731092
"380","Zapada","WindCave",-2.59,-22.97,"",-1.09285714285714,1.55966386554622
"381","Zapada","WindCave",-1.32,-30.53,"",-1.09285714285714,1.93319327731092
"382","Zapada","Delta",-2.11,-23.26,"",-2.75375,2.18933823529412
"383","Zapada","Delta",-3.49,-21.8,"",-2.75375,1.78345588235294
"384","Lednia","Delta",-2.69,-22.53,"",-2.75375,2.01875
"385","Zapada","Delta",-3.05,-23.99,"",-2.75375,1.91286764705882
"386","Lednia","Delta",-3.45,-22.29,"",-2.75375,1.79522058823529
"387","Lednia","Cloudveil",-0.59,-22.07,"Consumer",-1.69,2.32352941176471
"388","Lednia","Cloudveil",-1.02,-21.74,"Consumer",-1.69,2.19705882352941
"389","Lednia","Cloudveil",-2.41,-22.01,"Consumer",-1.69,1.78823529411765
"390","Lednia","Cloudveil",-1.52,-22.37,"Consumer",-1.69,2.05
"391","Lednia","Cloudveil",-2.07,-22.84,"Consumer",-1.69,1.88823529411765
"392","Lednia","Cloudveil",-1.11,-23.14,"Consumer",-1.69,2.17058823529412
"393","Lednia","Cloudveil",-1.77,-22.34,"Consumer",-1.69,1.97647058823529
"394","Lednia","Cloudveil",-2.31,-23.51,"Consumer",-1.69,1.81764705882353
"395","Lednia","Cloudveil",-1.25,-23.21,"Consumer",-1.69,2.12941176470588
"396","Simuliidae","Skillet",-0.1,-23.52,"Consumer",0.955,1.68970588235294
"397","Simuliidae","Skillet",0.46,-23.44,"Consumer",0.955,1.85441176470588
"398","Turbellaria","Skillet",3.46,-24.21,"Consumer",0.955,2.73676470588235
