"Dim.1" "Dim.2" "Dim.3" "Dim.4" "Dim.5" "Dim.6" "Dim.7" "Dim.8" "Dim.9"
"AK Basin" 2.22907367118778 -2.84679827683376 -1.48235660826421 -0.693672902582211 0.210655085415187 -0.112356748191525 0.0754696374448462 -0.0139635656681971 7.7715611723761e-16
"Cloudveil" 1.79611326028555 2.75816625378044 -0.945148844534181 -0.826238428881653 -0.77229634449254 0.193075144027726 0.0788812260705395 -0.0133802015427471 1.12410081243297e-15
"Delta" 1.37831917736715 1.32547116621772 -0.298182320458928 1.42973552084031 0.617567067161956 -0.446743484823982 -0.0917805981966082 -0.135480804369051 1.11716191852906e-15
"Grizzly" -2.10194262147155 0.0667100433794401 0.624990103694665 -0.527933235182416 0.665050083868023 0.347934249178462 0.321521430995616 -0.175442922898178 7.70217223333702e-16
"NFTC" -1.43135160884605 -0.214801656327269 1.17144403478667 -0.988989070363664 -0.542702504202704 -0.684846785143884 0.0101090194854623 0.00769111294133662 8.2572837456496e-16
"Paintbrush" -0.339890220237157 -0.159111704717923 0.410561371811589 -0.622061881953331 0.282306873650777 0.308686715565035 -0.57404706220464 -0.0192828066601276 9.81853487402873e-16
"SFTC" -3.83219686437435 -0.688377280652841 -1.093308151684 1.16440584711724 -0.709998572221839 0.106955600105502 -0.026101272650216 0.0242216185240098 5.89805981832114e-16
"Skillet" -0.433521460728309 0.831373383628078 0.0177910326479241 0.0401928402095071 0.826685444220997 0.000179583363031111 0.110953168449301 0.290429799079146 8.81239525796218e-16
"Wind Cave" 2.73539666681695 -1.07263192847389 1.59420938200048 1.02456131079622 -0.577267133399863 0.287115725919631 0.0949944506056984 0.035207770593808 1.07552855510562e-15
