"group","Meand15N","Meand13C","SDd15N","SDd13C","n"
"Biofilm",-1.69898148148148,-20.316962962963,0.0995258311263118,0.656655891153028,9
"CPOM/Plant",-3.93348961038961,-27.2909717893218,0.0250052277049249,0.0421811365319891,10
"Hydrurus",-3.954,-24.49025,0.242311203721067,0.182241993503717,4
"Hydrurus sub",-0.446666666666667,-33.7833333333333,0.0308403514076355,0.0426083683965596,2
