"group","Meand13C","Meand15N","SDd13C","SDd15N"
"Biofilm",0.4,1.4,1.4,1.4
"CPOM/Plant",0.4,1.4,1.4,1.4
"Hydrurus",0.4,1.4,1.4,1.4
