sample_id,rep,date,date2,type,group,group2,site,d15N,d13C,per_N,per_C,C_N_ratio,below_threshold,FG,FG2,Comments,
1144 G-A,,21-Jul,NA,food,CPOM/Plant,Grass detritus,Cloudveil,-3.37,-27.91,0.97,41.29,42.77,,,,,
1144 G-B,,21-Jul,NA,food,CPOM/Plant,Grass detritus,Cloudveil,-4.33,-27.3,0.73,44.73,60.97,,,,,
1144-L,,21-Jul,NA,food,CPOM/Plant,Leaf detritus,Cloudveil,-4.06,-27.66,1.32,41.63,31.58,,,,,
1145,,21-Aug,A,food,Hydrurus,,Cloudveil,-4.18,-25.47,2.16,18.18,8.4,,,,,
1148 F,,21-Aug,NA,food,CPOM/Plant,Flower detritus,Skillet,-2.34,-26.7,1.43,37.12,25.94,,,,,
1148 G,,21-Jul,NA,food,CPOM/Plant,Grass detritus,Skillet,-6.69,-24.15,0.72,44.96,62.77,,,,,
1148 L,,21-Aug,NA,food,CPOM/Plant,Leaf detritus,Skillet,-2.7,-26.31,3.03,32.68,10.79,,,,,
1151 G,,21-Jul,NA,food,CPOM/Plant,Grass detritus,Cloudveil,-2.56,-26.73,2.23,44.71,20.07,,,,,
1151 L-A,,21-Aug,NA,food,CPOM/Plant,Leaf detritus,Cloudveil,-5.55,-26.73,1.67,34.14,20.46,,,,,
1151 L-B,,21-Aug,NA,food,CPOM/Plant,Leaf detritus,Cloudveil,-4.62,-27.63,0.8,21.01,26.28,,,,,
1158,,,,food,Hydrurus,,,-4.38,-24.6,2.01,19.04,9.47,,,,Not completely sure about date and site,
124,,20-Aug,A,food,CPOM/Plant,Plant,Cloudveil,-3.42,-26.91,3.41,44.73,13.11,n,,,,
125,,20-Aug,A,food,CPOM/Plant,Leaf detritus,Cloudveil,-5.73,-27.75,1.53,44.81,29.3,n,,,,
130,,20-Aug,A,food,CPOM/Plant,Short needle detritus,Cloudveil,-2.92,-24.57,1.01,48.14,47.85,n,,,,
132,,20-Aug,A,food,Lichen,Lichen/film,Cloudveil,0.02,-23.51,5.11,44.87,8.79,n,,,,
136,,20-Aug,A,food,CPOM/Plant,Plant,Cloudveil,-2.76,-27.53,4.52,44.87,9.93,n,,,,
144,,20-Aug,A,food,Orange biofilm,Orange biofilm,Wind Cave,-0.93,-13.23,1.98,23.52,11.87,n,,,,
151,,20-Aug,A,food,Hydrurus,Hydrurus,Wind Cave,-1.03,-35.52,5.51,42.06,7.63,n,,,,
152,,20-Aug,A,food,Moss,Moss,Wind Cave,-0.14,-34.99,1.83,35.67,19.53,n,,,,
153,,20-Aug,A,food,Reddish biofilm,Reddish biofilm,Wind Cave,-2.03,-18.29,3.61,32.09,8.9,n,,,,
154,,20-Aug,A,food,Forest green algae,Forest green algae,Wind Cave,-4.44,-31.58,3.88,29.42,7.58,n,,,,
160,,20-Aug,A,food,Moss,Moss,Wind Cave,-1.68,-35.02,1.74,31.64,18.17,n,,,,
161,,20-Aug,A,food,Hydrurus,Hydrurus,Wind Cave,-1.06,-34.94,4.73,37.17,7.85,n,,,,
162,,20-Aug,A,food,Hydrurus,Hydrurus,Wind Cave,-0.7,-33.25,4.78,42,8.79,n,,,,
163,,20-Aug,A,food,Moss,Moss,Wind Cave,-1.31,-35.26,2.06,37.95,18.41,n,,,,
169,,20-Aug,A,food,Forest green algae,Forest green algae,Wind Cave,-3.23,-33.14,5.23,42.15,8.06,n,,,,
172,,20-Aug,A,food,Grass detritus,Grass detritus,Skillet,-2.81,-25.05,1.4,40.55,28.86,n,,,,
185,,20-Aug,A,food,Hydrurus,Hydrurus,Skillet,-2.59,-25.69,6.26,37.61,6.01,n,,,,
186,,20-Aug,A,food,CPOM/Plant,small roots,Gusher,-5.28,-27.69,1.46,41.76,28.51,n,,,,
190,,20-Aug,A,food,Short needle detritus,Short needle detritus,Skillet,-2.36,-30.13,1.28,50.22,39.35,n,,,,
202,,20-Aug,A,food,CPOM/Plant,Other herb,Gusher,-7.94,-28.19,3.46,45.28,13.09,n,,,,
2025,,20-Aug,A,food,Moss,Moss,NFTC,-2.07,-24.01,1.91,30.11,15.76,n,,,,
206,,20-Aug,A,food,CPOM/Plant,Short needle detritus,Gusher,-5.49,-27.23,0.57,50.08,87.71,n,,,,
210,,20-Aug,A,food,CPOM/Plant,small herb,Gusher,-4.67,-28.1,3.55,42.23,11.9,n,,,,
212,,20-Aug,A,food,CPOM/Plant,Grass detritus,Paintbrush,-3.81,-27.18,1.73,40.28,23.31,n,,,,
215,,20-Aug,A,food,Moss,Moss,Gusher,-4.72,-24.01,1.74,21.79,12.56,n,,,,
217,,20-Aug,A,food,Long needle detritus,Long needle detritus,Skillet,-2.98,-25.65,1.67,48.09,28.78,n,,,,
219,,20-Aug,A,food,CPOM/Plant,Long needle detritus,Gusher,-3.99,-25.5,1.18,49.88,42.16,n,,,,
222,,20-Aug,A,food,CPOM/Plant,Grass detritus,Gusher,-5.21,-30.06,3.03,45.38,14.98,n,,,,
225,,20-Aug,A,food,Wood,Wood,Gusher,-3.76,-25.99,0.38,48.5,128.02,n,,,,
226,,20-Aug,NA,food,Hydrurus,Hydrurus,Paintbrush,-1.83,-21.63,2.85,22.28,7.82,n,,,,
227,,20-Aug,A,food,FPOM,,Paintbrush,-1.36,-21.18,0.03,0.27,8.55,n,,,Rerun. Other sample discarded.,
228,,20-Aug,A,food,FPOM,FPOM,Gusher,-3.17,-11.2,0.17,1.11,6.5,y,,,Two samples averaged for N values.,
231,,20-Aug,A,food,Lichen,Lichen,Paintbrush,-4.16,-23.67,2.24,20.65,9.21,n,,,,
237,,20-Aug,A,food,Moss,Moss,Paintbrush,-4.11,-24.82,1.23,36.68,29.74,n,,,,
240,,20-Aug,A,food,CPOM/Plant,Leaf detritus,Grizzly,-7.74,-29.35,0.63,50.71,80.3,y,,,N & C Amplitude below threshold for reliable data.,
241,,20-Aug,A,food,CPOM/Plant,Grass detritus,Grizzly,-4.28,-25.17,1.33,43.95,33.01,n,,,,
243-D,,20-Aug,A,food,Moss,,Delta,3.11,-28.18,1.87,27.92,14.96,,,,,
244,,20-Aug,A,food,Wood,Wood,NFTC,-2.99,-25.84,0.97,39.83,41.24,n,,,,
245,,20-Aug,A,food,Moss,,Cloudveil,-2.99,-24.28,1.52,32.48,21.4,,,,,
247,,20-Aug,A,food,CPOM/Plant,Grass detritus,Wind Cave,-3.94,-26.77,1.03,46.45,45.09,n,,,,
250,,20-Aug,A,food,CPOM/Plant,Leaf detritus,NFTC,-2.89,-28.08,1.75,40.55,23.21,n,,,,
251,,20-Aug,A,food,Wood,Wood,Grizzly,-4.48,-26.46,1.67,51.54,30.88,n,,,,
